"","geo_type","region","transportation_type","alternative_name","sub-region","country","date","value"
"226","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-16,85.76
"227","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-17,78.6
"228","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-18,78.52
"229","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-19,67.98
"230","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-20,63.87
"231","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-21,42.06
"232","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-22,31.44
"233","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-23,45.27
"234","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-24,25.6
"235","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-25,21.81
"236","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-26,18.52
"237","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-27,21.15
"238","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-28,21.56
"239","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-29,21.4
"240","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-30,20.91
"241","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-03-31,17.04
"242","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-01,19.92
"243","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-02,17.7
"244","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-03,19.67
"245","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-04,17.04
"246","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-05,20.25
"247","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-06,20.41
"248","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-07,20.99
"249","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-08,30.45
"250","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-09,19.59
"251","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-10,19.59
"252","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-11,40
"253","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-12,17.53
"254","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-13,20.91
"255","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-14,22.72
"256","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-15,24.61
"257","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-16,26.17
"258","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-17,21.48
"259","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-18,22.3
"260","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-19,20.16
"261","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-20,24.36
"262","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-21,20.33
"263","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-22,20.25
"264","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-23,21.15
"265","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-24,25.27
"266","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-25,22.72
"267","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-26,16.21
"268","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-27,19.75
"269","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-28,22.3
"270","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-29,20.49
"271","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-04-30,19.34
"272","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-01,23.05
"273","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-02,20.74
"274","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-03,24.36
"275","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-04,25.19
"276","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-05,31.85
"277","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-06,28.97
"278","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-07,25.6
"279","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-08,26.67
"280","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-09,24.61
"281","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-10,28.48
"282","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-11,NA
"283","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-12,NA
"284","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-13,30.53
"285","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-14,41.32
"286","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-15,39.51
"287","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-16,36.79
"288","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-17,34.4
"289","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-18,33.25
"290","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-19,34.65
"291","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-20,51.69
"292","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-21,41.89
"293","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-22,40.58
"294","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-23,45.51
"295","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-24,37.61
"296","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-25,41.89
"297","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-26,45.68
"298","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-27,37.7
"299","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-28,37.45
"300","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-29,36.63
"301","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-30,39.92
"302","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-05-31,45.1
"303","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-01,43.95
"304","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-02,39.34
"305","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-03,35.8
"306","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-04,40.25
"307","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-05,43.62
"308","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-06,45.35
"309","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-07,40.99
"310","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-08,37.86
"311","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-09,48.15
"312","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-10,45.27
"313","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-11,45.6
"314","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-12,43.29
"315","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-13,38.27
"316","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-14,50.29
"317","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-15,56.13
"318","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-16,54.73
"319","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-17,58.27
"320","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-18,53.42
"321","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-19,33.5
"322","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-20,29.88
"323","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-21,32.02
"324","city","Chennai","walking","चेन्नई|சென்னை",NA,"India",2020-06-22,36.79
"325","city","Delhi","walking","दिल्ली",NA,"India",2020-01-13,100
"326","city","Delhi","walking","दिल्ली",NA,"India",2020-01-14,99.98
"327","city","Delhi","walking","दिल्ली",NA,"India",2020-01-15,101.8
"328","city","Delhi","walking","दिल्ली",NA,"India",2020-01-16,99.95
"329","city","Delhi","walking","दिल्ली",NA,"India",2020-01-17,113.69
"330","city","Delhi","walking","दिल्ली",NA,"India",2020-01-18,122.28
"331","city","Delhi","walking","दिल्ली",NA,"India",2020-01-19,109.82
"332","city","Delhi","walking","दिल्ली",NA,"India",2020-01-20,104.29
"333","city","Delhi","walking","दिल्ली",NA,"India",2020-01-21,106.61
"334","city","Delhi","walking","दिल्ली",NA,"India",2020-01-22,109.03
"335","city","Delhi","walking","दिल्ली",NA,"India",2020-01-23,102.72
"336","city","Delhi","walking","दिल्ली",NA,"India",2020-01-24,107.67
"337","city","Delhi","walking","दिल्ली",NA,"India",2020-01-25,114.91
"338","city","Delhi","walking","दिल्ली",NA,"India",2020-01-26,102.17
"339","city","Delhi","walking","दिल्ली",NA,"India",2020-01-27,110.12
"340","city","Delhi","walking","दिल्ली",NA,"India",2020-01-28,104.63
"341","city","Delhi","walking","दिल्ली",NA,"India",2020-01-29,110.3
"342","city","Delhi","walking","दिल्ली",NA,"India",2020-01-30,113.13
"343","city","Delhi","walking","दिल्ली",NA,"India",2020-01-31,115.44
"344","city","Delhi","walking","दिल्ली",NA,"India",2020-02-01,124.61
"345","city","Delhi","walking","दिल्ली",NA,"India",2020-02-02,116.64
"346","city","Delhi","walking","दिल्ली",NA,"India",2020-02-03,111.66
"347","city","Delhi","walking","दिल्ली",NA,"India",2020-02-04,111.38
"348","city","Delhi","walking","दिल्ली",NA,"India",2020-02-05,105.18
"349","city","Delhi","walking","दिल्ली",NA,"India",2020-02-06,110.46
"350","city","Delhi","walking","दिल्ली",NA,"India",2020-02-07,119.45
"351","city","Delhi","walking","दिल्ली",NA,"India",2020-02-08,109.19
"352","city","Delhi","walking","दिल्ली",NA,"India",2020-02-09,132.53
"353","city","Delhi","walking","दिल्ली",NA,"India",2020-02-10,112.28
"354","city","Delhi","walking","दिल्ली",NA,"India",2020-02-11,112.07
"355","city","Delhi","walking","दिल्ली",NA,"India",2020-02-12,116.91
"356","city","Delhi","walking","दिल्ली",NA,"India",2020-02-13,113.62
"357","city","Delhi","walking","दिल्ली",NA,"India",2020-02-14,134.12
"358","city","Delhi","walking","दिल्ली",NA,"India",2020-02-15,130.12
"359","city","Delhi","walking","दिल्ली",NA,"India",2020-02-16,132.63
"360","city","Delhi","walking","दिल्ली",NA,"India",2020-02-17,112
"361","city","Delhi","walking","दिल्ली",NA,"India",2020-02-18,113
"362","city","Delhi","walking","दिल्ली",NA,"India",2020-02-19,116.18
"363","city","Delhi","walking","दिल्ली",NA,"India",2020-02-20,110.09
"364","city","Delhi","walking","दिल्ली",NA,"India",2020-02-21,122.44
"365","city","Delhi","walking","दिल्ली",NA,"India",2020-02-22,134.77
"366","city","Delhi","walking","दिल्ली",NA,"India",2020-02-23,123
"367","city","Delhi","walking","दिल्ली",NA,"India",2020-02-24,105.18
"368","city","Delhi","walking","दिल्ली",NA,"India",2020-02-25,100.16
"369","city","Delhi","walking","दिल्ली",NA,"India",2020-02-26,101.31
"370","city","Delhi","walking","दिल्ली",NA,"India",2020-02-27,102.79
"371","city","Delhi","walking","दिल्ली",NA,"India",2020-02-28,110.51
"372","city","Delhi","walking","दिल्ली",NA,"India",2020-02-29,109.98
"373","city","Delhi","walking","दिल्ली",NA,"India",2020-03-01,108.23
"374","city","Delhi","walking","दिल्ली",NA,"India",2020-03-02,102.76
"375","city","Delhi","walking","दिल्ली",NA,"India",2020-03-03,103.25
"376","city","Delhi","walking","दिल्ली",NA,"India",2020-03-04,95.39
"377","city","Delhi","walking","दिल्ली",NA,"India",2020-03-05,96.66
"378","city","Delhi","walking","दिल्ली",NA,"India",2020-03-06,101.87
"379","city","Delhi","walking","दिल्ली",NA,"India",2020-03-07,103.55
"380","city","Delhi","walking","दिल्ली",NA,"India",2020-03-08,91.59
"381","city","Delhi","walking","दिल्ली",NA,"India",2020-03-09,61.15
"382","city","Delhi","walking","दिल्ली",NA,"India",2020-03-10,67.3
"383","city","Delhi","walking","दिल्ली",NA,"India",2020-03-11,91.64
"384","city","Delhi","walking","दिल्ली",NA,"India",2020-03-12,85.35
"385","city","Delhi","walking","दिल्ली",NA,"India",2020-03-13,87.47
"386","city","Delhi","walking","दिल्ली",NA,"India",2020-03-14,85.39
"387","city","Delhi","walking","दिल्ली",NA,"India",2020-03-15,84.33
"388","city","Delhi","walking","दिल्ली",NA,"India",2020-03-16,79.03
"389","city","Delhi","walking","दिल्ली",NA,"India",2020-03-17,75.62
"390","city","Delhi","walking","दिल्ली",NA,"India",2020-03-18,69.26
"391","city","Delhi","walking","दिल्ली",NA,"India",2020-03-19,61.18
"392","city","Delhi","walking","दिल्ली",NA,"India",2020-03-20,46.91
"393","city","Delhi","walking","दिल्ली",NA,"India",2020-03-21,33.69
"394","city","Delhi","walking","दिल्ली",NA,"India",2020-03-22,25.99
"395","city","Delhi","walking","दिल्ली",NA,"India",2020-03-23,25.6
"396","city","Delhi","walking","दिल्ली",NA,"India",2020-03-24,21.66
"397","city","Delhi","walking","दिल्ली",NA,"India",2020-03-25,24.33
"398","city","Delhi","walking","दिल्ली",NA,"India",2020-03-26,26.22
"399","city","Delhi","walking","दिल्ली",NA,"India",2020-03-27,32.6
"400","city","Delhi","walking","दिल्ली",NA,"India",2020-03-28,31.87
"401","city","Delhi","walking","दिल्ली",NA,"India",2020-03-29,25.25
"402","city","Delhi","walking","दिल्ली",NA,"India",2020-03-30,19.72
"403","city","Delhi","walking","दिल्ली",NA,"India",2020-03-31,19.24
"404","city","Delhi","walking","दिल्ली",NA,"India",2020-04-01,17.4
"405","city","Delhi","walking","दिल्ली",NA,"India",2020-04-02,16.04
"406","city","Delhi","walking","दिल्ली",NA,"India",2020-04-03,17.49
"407","city","Delhi","walking","दिल्ली",NA,"India",2020-04-04,17.56
"408","city","Delhi","walking","दिल्ली",NA,"India",2020-04-05,18.43
"409","city","Delhi","walking","दिल्ली",NA,"India",2020-04-06,17.19
"410","city","Delhi","walking","दिल्ली",NA,"India",2020-04-07,16.18
"411","city","Delhi","walking","दिल्ली",NA,"India",2020-04-08,20.35
"412","city","Delhi","walking","दिल्ली",NA,"India",2020-04-09,17.1
"413","city","Delhi","walking","दिल्ली",NA,"India",2020-04-10,17.4
"414","city","Delhi","walking","दिल्ली",NA,"India",2020-04-11,18.41
"415","city","Delhi","walking","दिल्ली",NA,"India",2020-04-12,19.22
"416","city","Delhi","walking","दिल्ली",NA,"India",2020-04-13,17.47
"417","city","Delhi","walking","दिल्ली",NA,"India",2020-04-14,19.56
"418","city","Delhi","walking","दिल्ली",NA,"India",2020-04-15,22.51
"419","city","Delhi","walking","दिल्ली",NA,"India",2020-04-16,17.47
"420","city","Delhi","walking","दिल्ली",NA,"India",2020-04-17,17.26
"421","city","Delhi","walking","दिल्ली",NA,"India",2020-04-18,17.93
"422","city","Delhi","walking","दिल्ली",NA,"India",2020-04-19,18.02
"423","city","Delhi","walking","दिल्ली",NA,"India",2020-04-20,19.61
"424","city","Delhi","walking","दिल्ली",NA,"India",2020-04-21,19.24
"425","city","Delhi","walking","दिल्ली",NA,"India",2020-04-22,18.25
"426","city","Delhi","walking","दिल्ली",NA,"India",2020-04-23,19.31
"427","city","Delhi","walking","दिल्ली",NA,"India",2020-04-24,15.81
"428","city","Delhi","walking","दिल्ली",NA,"India",2020-04-25,17.4
"429","city","Delhi","walking","दिल्ली",NA,"India",2020-04-26,18.43
"430","city","Delhi","walking","दिल्ली",NA,"India",2020-04-27,18.62
"431","city","Delhi","walking","दिल्ली",NA,"India",2020-04-28,18.73
"432","city","Delhi","walking","दिल्ली",NA,"India",2020-04-29,17.7
"433","city","Delhi","walking","दिल्ली",NA,"India",2020-04-30,18.5
"434","city","Delhi","walking","दिल्ली",NA,"India",2020-05-01,19.29
"435","city","Delhi","walking","दिल्ली",NA,"India",2020-05-02,18.87
"436","city","Delhi","walking","दिल्ली",NA,"India",2020-05-03,21.71
"437","city","Delhi","walking","दिल्ली",NA,"India",2020-05-04,22.88
"438","city","Delhi","walking","दिल्ली",NA,"India",2020-05-05,23.73
"439","city","Delhi","walking","दिल्ली",NA,"India",2020-05-06,24.24
"440","city","Delhi","walking","दिल्ली",NA,"India",2020-05-07,25.88
"441","city","Delhi","walking","दिल्ली",NA,"India",2020-05-08,26.13
"442","city","Delhi","walking","दिल्ली",NA,"India",2020-05-09,24.33
"443","city","Delhi","walking","दिल्ली",NA,"India",2020-05-10,25.21
"444","city","Delhi","walking","दिल्ली",NA,"India",2020-05-11,NA
"445","city","Delhi","walking","दिल्ली",NA,"India",2020-05-12,NA
"446","city","Delhi","walking","दिल्ली",NA,"India",2020-05-13,26.2
"447","city","Delhi","walking","दिल्ली",NA,"India",2020-05-14,24.68
"448","city","Delhi","walking","दिल्ली",NA,"India",2020-05-15,25.55
"449","city","Delhi","walking","दिल्ली",NA,"India",2020-05-16,26.22
"450","city","Delhi","walking","दिल्ली",NA,"India",2020-05-17,27.28
"451","city","Delhi","walking","दिल्ली",NA,"India",2020-05-18,29.84
"452","city","Delhi","walking","दिल्ली",NA,"India",2020-05-19,29.93
"453","city","Delhi","walking","दिल्ली",NA,"India",2020-05-20,34.31
"454","city","Delhi","walking","दिल्ली",NA,"India",2020-05-21,32.53
"455","city","Delhi","walking","दिल्ली",NA,"India",2020-05-22,29.95
"456","city","Delhi","walking","दिल्ली",NA,"India",2020-05-23,27.95
"457","city","Delhi","walking","दिल्ली",NA,"India",2020-05-24,30
"458","city","Delhi","walking","दिल्ली",NA,"India",2020-05-25,30.99
"459","city","Delhi","walking","दिल्ली",NA,"India",2020-05-26,30.07
"460","city","Delhi","walking","दिल्ली",NA,"India",2020-05-27,32.44
"461","city","Delhi","walking","दिल्ली",NA,"India",2020-05-28,30.62
"462","city","Delhi","walking","दिल्ली",NA,"India",2020-05-29,31.57
"463","city","Delhi","walking","दिल्ली",NA,"India",2020-05-30,31.82
"464","city","Delhi","walking","दिल्ली",NA,"India",2020-05-31,33.73
"465","city","Delhi","walking","दिल्ली",NA,"India",2020-06-01,37.35
"466","city","Delhi","walking","दिल्ली",NA,"India",2020-06-02,34.65
"467","city","Delhi","walking","दिल्ली",NA,"India",2020-06-03,35.41
"468","city","Delhi","walking","दिल्ली",NA,"India",2020-06-04,33.29
"469","city","Delhi","walking","दिल्ली",NA,"India",2020-06-05,33.73
"470","city","Delhi","walking","दिल्ली",NA,"India",2020-06-06,34.86
"471","city","Delhi","walking","दिल्ली",NA,"India",2020-06-07,34.68
"472","city","Delhi","walking","दिल्ली",NA,"India",2020-06-08,38.39
"473","city","Delhi","walking","दिल्ली",NA,"India",2020-06-09,38.39
"474","city","Delhi","walking","दिल्ली",NA,"India",2020-06-10,37.74
"475","city","Delhi","walking","दिल्ली",NA,"India",2020-06-11,36.91
"476","city","Delhi","walking","दिल्ली",NA,"India",2020-06-12,37.03
"477","city","Delhi","walking","दिल्ली",NA,"India",2020-06-13,34.95
"478","city","Delhi","walking","दिल्ली",NA,"India",2020-06-14,36.13
"479","city","Delhi","walking","दिल्ली",NA,"India",2020-06-15,36.87
"480","city","Delhi","walking","दिल्ली",NA,"India",2020-06-16,36.11
