Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
2020-03-21,-57,-16,-11,-19,-13,-60,-36,-5,-30,-44,-42,-32,-29,-26,95,-15,-31,-36,NA,-25,-60,-29,-55,-16,-4,-31,-30,-35,-38,-11,-25,-25,-14,-27,-25,-29
2020-03-22,-80,-76,-57,-69,-62,-92,-75,-71,-79,-87,-82,-79,-76,-69,17,-68,-81,-79,NA,-73,-86,-49,-54,-47,-38,-74,-84,-80,-75,-65,-78,-84,-68,-73,-74,-66
2020-03-23,-61,-51,-15,-44,-43,-77,-56,-33,-51,-71,-76,-62,-49,-48,61,-42,-45,-46,NA,-58,-69,-32,-16,-65,-35,-52,-43,-69,-63,-20,-26,-68,-19,-50,-57,-42
2020-03-24,-67,-68,-53,-45,-54,-92,-64,-50,-62,-80,-71,-74,-66,-63,31,-55,-73,-70,NA,-67,-76,-52,-58,-69,-50,-62,-70,-81,-71,-16,-41,-79,-47,-57,-69,-67
2020-03-25,-80,-76,-60,-73,-61,-92,-69,-68,-75,-86,-83,-78,-76,-68,3,-65,-81,-75,NA,-74,-82,-57,-62,-66,-58,-68,-84,-81,-74,-58,-79,-82,-68,-71,-70,-71
2020-03-26,-80,-74,-61,-72,-63,-91,-70,-68,-73,-86,-81,-78,-75,-65,7,-66,-80,-77,NA,-73,-80,-53,-58,-71,-56,-70,-83,-79,-74,-57,-80,-82,-69,-70,-71,-71
2020-03-27,-78,-74,-61,-71,-63,-90,-71,-69,-74,-86,-79,-78,-77,-69,-2,-66,-81,-78,NA,-73,-80,-51,-47,-70,-57,-71,-83,-80,-74,-58,-80,-83,-67,-71,-72,-71
2020-03-28,-75,-75,-62,-73,-64,-89,-72,-70,-77,-86,-82,-81,-76,-67,13,-66,-83,-80,NA,-74,-82,-52,-48,-68,-58,-72,-84,-78,-74,-56,-81,-84,-68,-70,-71,-72
2020-03-29,-68,-71,-56,-70,-62,-90,-72,-72,-79,-86,-81,-82,-76,-64,18,-66,-82,-78,NA,-73,-82,-49,-54,-49,-42,-72,-82,-78,-74,-61,-78,-82,-66,-70,-72,-71
2020-03-30,-69,-73,-62,-72,-64,-90,-70,-70,-75,-83,-78,-79,-73,-65,11,-65,-80,-77,NA,-74,-79,-51,-59,-66,-54,-70,-81,-75,-73,-56,-79,-82,-67,-69,-70,-70
2020-03-31,-72,-72,-62,-71,-62,-90,-69,-70,-74,-84,-76,-79,-73,-63,6,-64,-79,-76,NA,-74,-80,-51,-44,-66,-57,-71,-81,-77,-73,-56,-77,-81,-65,-68,-69,-69
2020-04-01,-75,-74,-62,-71,-63,-91,-70,-71,-75,-85,-77,-79,-75,-65,0,-66,-80,-76,NA,-76,-80,-50,-59,-67,-62,-70,-82,-78,-73,-59,-78,-81,-66,-70,-71,-69
2020-04-02,-74,-75,-62,-73,-63,-91,-69,-72,-75,-85,-77,-79,-75,-66,5,-67,-80,-76,NA,-75,-81,-53,-59,-65,-61,-71,-82,-78,-74,-55,-78,-82,-66,-70,-72,-68
2020-04-03,-76,-74,-61,-71,-61,-90,-67,-70,-73,-84,-79,-78,-74,-65,27,-65,-80,-76,NA,-74,-80,-48,-45,-65,-60,-69,-82,-77,-74,-55,-77,-82,-63,-69,-70,-68
2020-04-04,-76,-74,-62,-72,-61,-91,-69,-70,-75,-85,-80,-79,-75,-66,28,-66,-81,-78,NA,-75,-82,-49,-58,-62,-60,-75,-83,-78,-74,-54,-78,-82,-64,-70,-71,-70
2020-04-05,-76,-71,-58,-69,-59,-90,-70,-70,-77,-86,-80,-81,-75,-64,24,-65,-81,-77,NA,-73,-82,-47,-51,-48,-44,-75,-82,-79,-74,-59,-78,-81,-62,-70,-72,-69
2020-04-06,-75,-74,-65,-71,-61,-90,-70,-72,-76,-84,-78,-80,-73,-65,20,-66,-80,-76,NA,-76,-80,-55,-48,-67,-53,-72,-82,-77,-74,-60,-79,-81,-64,-69,-70,-68
2020-04-07,-81,-77,-71,-73,-60,-91,-70,-74,-80,-85,-78,-81,-75,-63,4,-67,-81,-80,NA,-77,-82,-68,-61,-76,-67,-76,-87,-79,-74,-65,-82,-84,-70,-69,-70,-69
2020-04-08,-83,-77,-71,-72,-60,-92,-71,-75,-82,-86,-79,-82,-76,-66,0,-68,-81,-80,NA,-78,-83,-68,-69,-77,-68,-75,-87,-79,-74,-67,-82,-84,-70,-68,-71,-70
2020-04-09,-82,-78,-71,-73,-60,-92,-71,-75,-80,-86,-78,-82,-76,-65,-2,-68,-82,-80,NA,-78,-83,-67,-68,-75,-71,-76,-87,-79,-75,-66,-83,-84,-68,-72,-71,-69
2020-04-10,-83,-78,-71,-72,-60,-93,-72,-74,-80,-87,-82,-82,-76,-66,4,-69,-81,-83,NA,-78,-83,-67,-69,-81,-74,-75,-88,-80,-75,-67,-83,-85,-69,-72,-72,-70
2020-04-11,-84,-79,-70,-73,-61,-93,-72,-74,-83,-88,-80,-83,-78,-67,1,-69,-83,-81,NA,-78,-85,-54,-62,-73,-69,-76,-89,-80,-75,-66,-83,-86,-69,-72,-72,-71
2020-04-12,-83,-78,-68,-70,-59,-93,-73,-74,-83,-89,-80,-84,-78,-66,4,-69,-83,-79,NA,-78,-85,-64,-65,-65,-64,-75,-88,-80,-76,-68,-82,-84,-66,-72,-73,-70
2020-04-13,-80,-77,-70,-70,-61,-92,-71,-72,-81,-86,-78,-82,-75,-64,-6,-69,-81,-77,NA,-77,-82,-70,-64,-74,-72,-75,-87,-78,-75,-66,-82,-84,-68,-71,-70,-69
2020-04-14,-83,-78,-70,-72,-61,-92,-71,-72,-81,-87,-78,-82,-75,-63,-6,-68,-82,-81,NA,-76,-83,-67,-76,-76,-74,-75,-89,-78,-74,-69,-83,-84,-66,-70,-70,-69
2020-04-15,-82,-77,-68,-74,-64,-92,-71,-71,-81,-87,-77,-82,-76,-66,-6,-68,-81,-79,NA,-76,-82,-70,-78,-73,-74,-74,-87,-78,-74,-65,-82,-84,-70,-70,-70,-72
2020-04-16,-87,-84,-73,-84,-80,-94,-80,-80,-86,-89,-81,-88,-83,-74,-25,-80,-86,-86,NA,-84,-87,-82,-74,-86,-80,-85,-88,-84,-83,-78,-87,-89,-84,-81,-77,-85
2020-04-17,-86,-85,-72,-84,-79,-94,-84,-79,-87,-90,-82,-88,-84,-76,-24,-81,-86,-87,NA,-84,-87,-83,-81,-86,-82,-84,-89,-84,-83,-77,-86,-89,-84,-82,-78,-85
2020-04-18,-88,-86,-74,-86,-80,-95,-85,-81,-88,-91,-84,-89,-85,-79,-25,-82,-88,-88,NA,-86,-89,-85,-78,-84,-83,-86,-90,-85,-83,-77,-88,-90,-86,-83,-80,-87
2020-04-19,-87,-85,-73,-84,-79,-95,-85,-80,-89,-91,-83,-90,-85,-77,-19,-82,-87,-86,NA,-85,-89,-82,-81,-79,-77,-85,-89,-85,-84,-78,-87,-89,-85,-84,-80,-87
2020-04-20,-86,-86,-76,-85,-80,-94,-81,-80,-87,-90,-81,-89,-83,-77,-22,-82,-86,-85,NA,-85,-87,-84,-78,-85,-80,-84,-87,-84,-83,-74,-87,-90,-86,-83,-78,-86
2020-04-21,-88,-85,-75,-84,-80,-94,-80,-79,-87,-90,-79,-88,-82,-74,-19,-82,-86,-85,NA,-84,-87,-81,-78,-86,-82,-85,-87,-84,-82,-75,-86,-90,-84,-82,-78,-87
2020-04-22,-88,-86,-75,-83,-79,-94,-80,-80,-87,-90,-80,-89,-83,-76,-25,-81,-86,-85,NA,-84,-87,-82,-79,-86,-81,-83,-88,-84,-83,-76,-86,-90,-84,-83,-78,-86
2020-04-23,-88,-85,-74,-83,-79,-94,-79,-79,-86,-90,-79,-89,-83,-76,-24,-81,-86,-86,NA,-84,-88,-81,-77,-87,-82,-84,-87,-84,-83,-75,-87,-90,-84,-83,-78,-86
2020-04-24,-88,-85,-74,-83,-78,-95,-79,-78,-86,-90,-80,-88,-83,-76,-15,-81,-85,-86,NA,-84,-87,-81,-82,-86,-80,-85,-88,-84,-83,-74,-86,-90,-82,-83,-78,-86
2020-04-25,-92,-86,-73,-84,-79,-95,-79,-78,-87,-91,-81,-89,-83,-77,-21,-82,-87,-87,NA,-85,-89,-80,-82,-85,-82,-85,-89,-84,-83,-74,-85,-91,-83,-84,-79,-87
2020-04-26,-91,-85,-71,-82,-79,-95,-80,-77,-87,-91,-81,-88,-84,-75,-14,-82,-86,-85,NA,-85,-89,-82,-81,-82,-78,-84,-90,-84,-83,-77,-91,-89,-83,-84,-82,-86
2020-04-27,-87,-86,-73,-83,-79,-94,-78,-76,-86,-89,-78,-87,-82,-73,-21,-82,-85,-84,NA,-85,-87,-80,-76,-85,-78,-83,-88,-83,-82,-75,-90,-90,-82,-83,-77,-86
2020-04-28,-88,-85,-71,-82,-80,-94,-77,-73,-83,-90,-76,-87,-81,-69,-20,-82,-84,-84,NA,-84,-87,-80,-77,-86,-78,-83,-87,-83,-82,-75,-89,-89,-81,-82,-77,-86
2020-04-29,-91,-85,-71,-81,-79,-94,-78,-72,-83,-89,-76,-87,-82,-71,-23,-81,-84,-84,NA,-83,-87,-80,-77,-84,-77,-82,-87,-83,-81,-73,-88,-89,-80,-82,-77,-85
2020-04-30,-86,-85,-70,-82,-78,-94,-77,-72,-81,-89,-75,-87,-82,-72,-20,-81,-83,-83,NA,-83,-87,-81,-73,-83,-78,-81,-86,-83,-81,-76,-84,-89,-81,-82,-78,-86
2020-05-01,-88,-85,-70,-83,-80,-94,-78,-71,-80,-89,-77,-87,-82,-73,-11,-82,-83,-85,NA,-83,-87,-81,-81,-81,-76,-82,-87,-84,-82,-75,-86,-89,-80,-83,-78,-88
2020-05-02,-92,-85,-69,-83,-78,-94,-78,-71,-81,-89,-77,-87,-82,-74,-13,-81,-84,-84,NA,-84,-88,-80,-80,-82,-78,-81,-88,-83,-81,-74,-86,-89,-80,-82,-78,-87
2020-05-03,-91,-84,-67,-81,-77,-95,-79,-69,-83,-90,-77,-88,-83,-73,-6,-80,-83,-86,NA,-83,-88,-81,-78,-76,-75,-81,-87,-85,-82,-76,-86,-88,-80,-83,-78,-86
2020-05-04,-85,-81,-66,-77,-78,-84,-74,-66,-80,-84,-72,-85,-77,-67,-9,-80,-75,-79,NA,-82,-84,-76,-70,-80,-73,-79,-74,-81,-78,-69,-82,-88,-76,-79,-70,-85
2020-05-05,-85,-80,-65,-76,-78,-85,-74,-64,-77,-85,-70,-85,-76,-64,-10,-80,-75,-79,NA,-81,-84,-74,-72,-79,-74,-78,-74,-80,-78,-68,-81,-87,-77,-79,-70,-84
2020-05-06,-89,-79,-62,-73,-76,-84,-72,-64,-76,-84,-70,-84,-75,-66,-41,-79,-74,-77,NA,-80,-83,-78,-71,-78,-67,-76,-72,-79,-77,-66,-80,-84,-77,-78,-68,-83
2020-05-07,-84,-79,-63,-73,-76,-85,-71,-65,-73,-85,-69,-84,-75,-66,-47,-78,-74,-76,NA,-80,-83,-78,-69,-78,-69,-75,-72,-78,-77,-68,-79,-84,-75,-78,-69,-83
2020-05-08,-83,-79,-60,-73,-73,-85,-69,-64,-74,-83,-70,-84,-75,-67,-34,-78,-74,-76,NA,-79,-82,-77,-76,-77,-63,-75,-73,-77,-77,-65,-79,-83,-74,-76,-67,-83
2020-05-09,-87,-80,-62,-76,-74,-87,-84,-65,-77,-85,-72,-86,-75,-68,-36,-79,-75,-76,NA,-80,-85,-78,-77,-77,-62,-76,-75,-78,-79,-65,-80,-85,-76,-78,-70,-84
2020-05-10,-90,-79,-61,-80,-74,-91,-83,-61,-76,-85,-73,-87,-79,-73,-30,-80,-76,-90,NA,-80,-85,-79,-77,-78,-70,-77,-78,-80,-79,-67,-81,-84,-78,-79,-74,-85
2020-05-11,-82,-79,-60,-74,-73,-83,-67,-63,-76,-82,-69,-85,-72,-63,-24,-77,-72,-72,NA,-78,-82,-77,-75,-77,-71,-74,-70,-74,-77,-64,-75,-83,-74,-76,-65,-82
2020-05-12,-84,-78,-61,-75,-73,-84,-68,-64,-74,-83,-68,-85,-72,-61,9,-78,-72,-73,NA,-77,-82,-75,-66,-76,-73,-75,-72,-74,-77,-67,-74,-83,-74,-75,-66,-83
2020-05-13,-86,-78,-60,-74,-71,-85,-68,-61,-76,-82,-69,-85,-72,-64,2,-77,-72,-73,NA,-77,-82,-77,-70,-77,-67,-73,-69,-74,-76,-65,-74,-83,-75,-75,-65,-82
2020-05-14,-86,-77,-60,-74,-71,-84,-66,-57,-75,-82,-68,-84,-72,-64,1,-76,-70,-73,NA,-76,-81,-74,-70,-75,-71,-74,-68,-73,-75,-64,-73,-82,-71,-74,-65,-81
2020-05-15,-83,-77,-58,-73,-68,-84,-64,-56,-74,-81,-68,-83,-71,-63,26,-75,-70,-73,NA,-76,-81,-75,-70,-75,-66,-71,-69,-69,-74,-63,-72,-82,-69,-73,-65,-81
2020-05-16,-83,-78,-62,-74,-70,-85,-79,-57,-77,-82,-71,-84,-72,-64,26,-76,-70,-72,NA,-77,-83,-75,-69,-74,-68,-72,-71,-70,-74,-61,-73,-83,-70,-74,-66,-82
2020-05-17,-90,-78,-61,-78,-70,-89,-80,-50,-78,-83,-73,-85,-76,-68,26,-76,-72,-90,NA,-78,-83,-81,-76,-76,-68,-72,-75,-75,-75,-66,-76,-83,-74,-75,-70,-81
2020-05-18,-79,-76,-59,-72,-68,-80,-63,-56,-76,-79,-68,-82,-68,-61,23,-75,-68,-70,NA,-76,-80,-81,-75,-76,-68,-70,-65,-64,-72,-60,-70,-81,-69,-73,-63,-80
2020-05-19,-80,-75,-61,-72,-69,-77,-63,-57,-74,-76,-67,-78,-67,-59,7,-74,-67,-68,NA,-76,-80,-80,-74,-77,-72,-72,-63,-64,-71,-62,-69,-78,-69,-71,-63,-80
2020-05-20,-81,-74,-58,-69,-65,-76,-62,-57,-74,-74,-66,-76,-66,-61,14,-76,-65,-65,NA,-75,-80,-80,-69,-75,-68,-78,-60,-64,-69,-65,-67,-75,-71,-70,-60,-89
2020-05-21,-82,-73,-65,-77,-67,-76,-62,-56,-74,-73,-67,-76,-65,-61,14,-72,-65,-66,NA,-74,-80,-81,-77,-75,-71,-67,-62,-64,-69,-63,-68,-75,-72,-69,-61,-85
2020-05-22,-81,-73,-61,-70,-63,-77,-62,-57,-74,-74,-67,-76,-66,-62,47,-72,-66,-66,NA,-74,-80,-78,-70,-73,-74,-71,-64,-64,-70,-61,-67,-76,-67,-69,-62,-80
2020-05-23,-77,-72,-67,-71,-66,-78,-79,-57,-76,-75,-69,-77,-66,-64,66,-73,-65,-66,NA,-75,-81,-77,-68,-72,-70,-69,-67,-64,-70,-63,-68,-75,-68,-70,-63,-79
2020-05-24,-85,-71,-66,-75,-66,-86,-80,-53,-76,-76,-71,-78,-72,-67,45,-72,-87,-82,NA,-75,-81,-79,-76,-76,-71,-69,-71,-71,-71,-67,-70,-76,-72,-72,-68,-78
2020-05-25,-78,-71,-65,-74,-67,-75,-63,-57,-75,-75,-68,-76,-62,-62,33,-73,-64,-64,NA,-76,-80,-78,-77,-74,-73,-67,-61,-60,-69,-67,-66,-76,-68,-72,-62,-78
2020-05-26,-77,-69,-65,-73,-65,-74,-63,-54,-74,-73,-63,-74,-63,-57,48,-71,-64,-64,NA,-74,-78,-76,-75,-74,-74,-67,-61,-62,-67,-62,-64,-74,-67,-67,-60,-76
2020-05-27,-77,-67,-61,-69,-61,-75,-63,-56,-74,-73,-65,-74,-64,-60,42,-70,-63,-63,NA,-72,-78,-79,-70,-80,-70,-65,-60,-61,-66,-62,-64,-72,-76,-67,-60,-76
2020-05-28,-76,-67,-62,-68,-63,-75,-62,-58,-73,-73,-65,-74,-64,-61,48,-69,-62,-63,NA,-72,-78,-76,-69,-73,-72,-67,-62,-62,-66,-59,-66,-72,-68,-66,-60,-77
2020-05-29,-76,-67,-59,-68,-59,-76,-61,-58,-74,-73,-65,-73,-65,-61,65,-69,-64,-64,NA,-71,-78,-76,-67,-74,-69,-65,-63,-61,-66,-61,-64,-72,-67,-66,-60,-75
2020-05-30,-74,-65,-62,-68,-63,-75,-67,-58,-76,-74,-67,-74,-64,-63,59,-70,-62,-62,NA,-72,-79,-75,-66,-70,-69,-66,-65,-61,-67,-61,-65,-72,-70,-67,-59,-76
2020-05-31,-79,-67,-62,-72,-63,-84,-75,-54,-77,-76,-69,-76,-72,-66,54,-71,-68,-86,NA,-73,-79,-77,-76,-76,-72,-66,-69,-68,-67,-65,-68,-75,-71,-70,-66,-76
2020-06-01,-68,-62,-61,-64,-57,-69,-58,-52,-73,-68,-65,-67,-59,-56,63,-68,-58,-60,NA,-67,-75,-75,-73,-71,-69,-65,-55,-55,-61,-61,-60,-67,-63,-63,-56,-72
2020-06-02,-71,-62,-60,-65,-56,-67,-60,-55,-72,-69,-68,-67,-60,-53,62,-65,-58,-60,NA,-66,-76,-76,-70,-77,-72,-66,-55,-57,-61,-61,-58,-66,-65,-61,-56,-73
2020-06-03,-71,-60,-59,-63,-54,-70,-59,-61,-78,-69,-70,-67,-61,-55,55,-63,-57,-59,NA,-65,-82,-74,-63,-79,-68,-62,-55,-57,-60,-61,-58,-66,-67,-61,-56,-70
2020-06-04,-69,-60,-60,-63,-54,-70,-59,-57,-71,-69,-64,-66,-61,-54,57,-63,-57,-61,NA,-69,-76,-74,-64,-74,-70,-63,-57,-58,-59,-60,-60,-66,-69,-61,-56,-72
2020-06-05,-71,-58,-59,-60,-56,-67,-56,-53,-72,-67,-66,-65,-59,-55,79,-60,-57,-60,NA,-63,-73,-72,-62,-71,-76,-57,-57,-55,-58,-58,-56,-64,-59,-61,-54,-69
2020-06-06,-72,-59,-57,-62,-49,-68,-62,-52,-72,-69,-67,-65,-60,-55,74,-61,-58,-61,NA,-64,-74,-71,-63,-72,-68,-78,-58,-57,-58,-54,-58,-63,-63,-59,-64,-69
2020-06-07,-77,-63,-57,-65,-51,-77,-71,-48,-75,-70,-70,-68,-68,-61,73,-62,-60,-85,NA,-67,-75,-75,-71,-75,-69,-78,-64,-63,-60,-55,-61,-66,-67,-64,-66,-73
2020-06-08,-64,-55,-57,-56,-47,-61,-56,-50,-71,-65,-63,-63,-56,-51,77,-59,-51,-55,NA,-60,-69,-71,-62,-66,-78,-57,-51,-50,-54,-53,-54,-59,-62,-55,-49,-65
2020-06-09,-73,-57,-57,-58,-48,-63,-59,-51,-72,-66,-60,-61,-57,-49,86,-60,-52,-56,NA,-61,-70,-71,-60,-87,-68,-58,-52,-53,-55,-53,-54,-60,-62,-55,-52,-65
2020-06-10,-65,-56,-57,-55,-45,-64,-57,-49,-69,-65,-62,-60,-57,-52,81,-58,-51,-57,NA,-60,-69,-71,-60,-86,-66,-55,-50,-53,-53,-51,-54,-61,-63,-55,-51,-64
2020-06-11,-62,-54,-57,-56,-42,-64,-57,-51,-69,-62,-63,-58,-56,-50,86,-56,-52,-56,NA,-58,-68,-69,-61,-84,-68,-55,-50,-52,-52,-51,-54,-57,-61,-52,-49,-64
2020-06-12,-64,-54,-57,-56,-39,-63,-54,-52,-69,-62,-68,-59,-56,-49,111,-56,-49,-57,NA,-57,-69,-70,-60,-83,-65,-48,-52,-47,-53,-48,-52,-59,-64,-50,-48,-66
2020-06-13,-61,-53,-58,-58,-41,-72,-57,-50,-71,-65,-68,-60,-56,-53,109,-57,-51,-58,NA,-59,-71,-69,-60,-83,-68,-76,-57,-70,-53,-56,-56,-59,-65,-52,-61,-65
2020-06-14,-69,-58,-58,-62,-43,-79,-63,-44,-73,-67,-68,-64,-65,-59,98,-59,-55,-84,NA,-64,-72,-73,-67,-77,-69,-77,-63,-80,-56,-56,-61,-62,-64,-58,-62,-68
2020-06-15,-60,-52,-57,-56,-43,-60,-54,-51,-70,-63,-63,-58,-53,-48,110,-59,-48,-52,NA,-57,-69,-68,-59,-85,-65,-61,-50,-47,-51,-50,-53,-58,-57,-50,-46,-62
2020-06-16,-67,-52,-56,-57,-43,-61,-54,-50,-69,-64,-68,-57,-54,-46,109,-57,-50,-53,NA,-57,-68,-69,-60,-83,-68,-59,-50,-51,-52,-53,-51,-60,-58,-51,-47,-63
2020-06-17,-64,-53,-57,-57,-42,-63,-53,-52,-71,-64,-66,-57,-56,-50,96,-55,-50,-54,NA,-57,-68,-70,-63,-82,-65,-57,-51,-51,-51,-50,-51,-58,-70,-51,-49,-63
2020-06-18,-64,-53,-57,-59,-44,-63,-52,-55,-71,-64,-66,-57,-56,-51,84,-55,-49,-55,NA,-57,-70,-71,-63,-80,-68,-58,-54,-52,-51,-53,-52,-60,-60,-52,-50,-62
2020-06-19,-61,-54,-56,-57,-43,-63,-52,-54,-74,-64,-63,-57,-56,-52,117,-53,-50,-57,NA,-55,-67,-67,-58,-78,-64,-55,-56,-51,-51,-54,-64,-59,-56,-51,-48,-62
2020-06-20,-57,-55,-53,-57,-41,-66,-56,-54,-74,-65,-65,-58,-57,-51,117,-54,-51,-55,NA,-58,-69,-67,-56,-77,-61,-76,-60,-60,-51,-49,-66,-60,-57,-53,-58,-62
2020-06-21,-67,-68,-57,-68,-47,-79,-66,-60,-79,-71,-70,-65,-68,-65,58,-60,-65,-76,NA,-69,-74,-72,-67,-72,-69,-79,-72,-77,-60,-57,-75,-71,-66,-62,-66,-68
2020-06-22,-55,-54,-58,-55,-38,-57,-61,-53,-71,-61,-62,-55,-51,-47,123,-51,-48,-53,NA,-54,-65,-67,-55,-76,-67,-54,-53,-44,-47,-48,-63,-56,-55,-48,-43,-59
2020-06-23,-54,-55,-57,-56,-37,-59,-52,-53,-71,-62,-59,-55,-51,-44,115,-50,-49,-52,NA,-54,-66,-67,-55,-74,-63,-57,-65,-48,-47,-48,-62,-57,-56,-48,-46,-59
